Código;Município;Área (km²);Densidade demográfica, 2000;Distância à capital (km);Esperança de vida ao nascer, 2000;Taxa de fecundidade total, 2000;Renda per Capita, 2000;Índice de Gini, 2000;Intensidade da indigência, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Taxa bruta de freqüência à escola, 2000;Taxa de alfabetização, 2000;Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000;Populacao;QTD_TOTAL_CNPJ_SUPERMERCADO;Variacao_Populacao_1991_a_2000;Percentual_Populacao_65_anos;Percentual_Populacao_Urbana;Populacao por Supermercados;cluster
420420;Chapecó (SC);625.4;234.3;405.4376281;76.29;2.34;341.64;0.57;48.61;41.39;0.848;97.09;92.89;6.44;146967;466.0;0.33653749965897;0.0411044656283383;0.9157974239114904;315.37982832618025;2
210330;Codó (MA);4246.6;26.1;218.8486387;56.55;3.62;76.65;0.62;55.69;59.36;0.558;76.46;59.38;2.82;111146;262.0;0.0801045644927747;0.0609378655102297;0.6756248537959081;424.2213740458016;3
320150;Colatina (ES);1789.3;62.9;91.91936147;70.72;2.43;272.35;0.57;45.78;37.03;0.773;75.39;89.41;5.64;112711;256.0;0.1285545498237743;0.0641729733566377;0.8100185429993523;440.27734375;3
410580;Colombo (PR);159.1;1152.4;15.89309231;69.25;2.5;236.16;0.47;64.76;41.51;0.764;75.52;92.78;5.51;183329;568.0;0.5567094347312915;0.0318334797004292;0.9543607394356594;322.76232394366195;0
311830;Conselheiro Lafaiete (MG);371.3;275.8;95.33616696;71.23;2.09;258.21;0.53;46.4;41.14;0.793;83.75;94.55;6.39;102836;277.0;0.1546952020570633;0.0584036718658835;0.967705861760473;371.2490974729242;1
311860;Contagem (MG);195.2;2748.0;16.37617324;70.07;2.0;280.59;0.51;55.55;41.85;0.789;81.68;94.38;6.49;538017;1278.0;0.1966889685667767;0.0394597196742853;0.9912883793634774;420.9835680751174;0
351300;Cotia (SP);324.6;456.2;29.48618192;71.69;2.13;431.58;0.62;70.47;51.09;0.826;87.89;92.95;6.42;148987;226.0;0.3865317859901538;0.0381711156006899;1.0;659.2345132743363;1
230420;Crato (CE);1117.5;93.4;402.3737402;67.83;2.75;168.05;0.66;47.3;50.03;0.716;87.62;77.09;5.37;104646;262.0;0.1560666821330327;0.0638055921869923;0.8019131166026413;399.412213740458;3
420460;Criciúma (SC);210.0;810.8;144.5699337;71.17;2.02;407.95;0.56;63.03;38.19;0.822;85.61;95.31;6.75;170420;350.0;0.1607331376301755;0.0435042835347963;0.8980694754136839;486.9142857142857;1
351350;Cubatão (SP);142.6;756.7;44.13081645;68.32;2.3;267.53;0.49;74.86;51.65;0.772;84.5;90.94;6.17;108309;101.0;0.1884326720505618;0.0362296762041935;0.9940171176910506;1072.3663366336634;1
